Sector,Sub-Sector,Sub-Group,Scheme Status,Key Client,Project / Programme Name,Project or Programme,No of projects,Project Summary,ONS Region,Asset Ownership,Economically Regulated Asset,Funding Source,Start of Works / Construction (Projected),Date in Service (Projected),Total Capex Cost all funding (£m),Total Capex Cost Publicly Funded (£m),2017/18 (£m),2018/19 (£m),2019/20 (£m),2020/21 (£m), 2021/22 and Beyond (£m),Basis of Costs,Base Year,Data source (including web address),Public Notes, 2017/18 (£m constant), 2018/19 (£m constant), 2019/20 (£m constant), 2020/21 (£m constant), 2021/22 and Beyond (£m constant), 2018/19 to 2020/21 (£m constant), 2018/19 onwards (£m constant), East Midlands 2018/19 to 2020/21 (£m constant), East of England 2018/19 to 2020/21 (£m constant), London 2018/19 to 2020/21 (£m constant), North East 2018/19 to 2020/21 (£m constant), North West 2018/19 to 2020/21 (£m constant), South East 2018/19 to 2020/21 (£m constant), South West 2018/19 to 2020/21 (£m constant), West Midlands 2018/19 to 2020/21 (£m constant), Yorkshire and the Humber 2018/19 to 2020/21 (£m constant)
Communications,Digital economy,NPIF,Scoping,DCMS,5G Testbeds and Trials,Programme,Multiple,Funding trials of 5G use cases to stimulate the market and encourage investment by MNOs and other 5G-interested parties,UK,Private,No,Central Government,TBC,TBC, 200.00 , 200.00 , -   , -   , -   , -   , -   ,Constant,2017/18,,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Energy,Electricity Generation,Advanced Conversion Technologies,Consents Approved,BH EnergyGap (Walsall) Ltd,BHEG Walsall,Project,1,BHEG Walsall,West Midlands,Private,No,Private,2021,2022, 210.28 , -   , -   , -   , -   , 105.14 , 105.14 ,Constant,2014/15,"Data for electricity generation has been drawn from BEIS, National Grid TEC register, Renewable Energy Planning Database (REPD), Renewable UK Offshore Wind Project Timelines, Developer websites and HM Treasury estimates. ",Cost profiles are based on BEIS' most up to date levelised cost data for each technology and market intelligence on proportion of projects that are constructed. The relative levels of investment between technologies is subject to market forces and therefore figures are indicative of potential investment in each technology and are not a forecast of actual investment, -   , -   , -   , 110.20 , 110.20 , 110.20 , 220.40 , -   , -   , -   , -   , -   , -   , -   , -   , -   
Energy,Electricity Generation,Advanced Conversion Technologies,Consents Approved,Northacre Renewables Energy Limited,Northacre Renewables Energy Center,Project,1,Northacre Renewables Energy Center,South West,Private,No,Private,2022,2023, 198.60 , -   , -   , -   , -   , -   , 198.60 ,Constant,2014/15,"Data for electricity generation has been drawn from BEIS, National Grid TEC register, Renewable Energy Planning Database (REPD), Renewable UK Offshore Wind Project Timelines, Developer websites and HM Treasury estimates. ",Cost profiles are based on BEIS' most up to date levelised cost data for each technology and market intelligence on proportion of projects that are constructed. The relative levels of investment between technologies is subject to market forces and therefore figures are indicative of potential investment in each technology and are not a forecast of actual investment, -   , -   , -   , -   , 208.15 , -   , 208.15 , -   , -   , -   , -   , -   , -   , -   , -   , -   
Energy,Electricity Generation,Advanced Conversion Technologies,Consents Approved,Peterborough Renewable Energy,Peterborough Energy Park,Project,1,Peterborough Energy Park,East of England,Private,No,Private,2018,2019, 615.28 , -   , 307.64 , 307.64 , -   , -   , -   ,Constant,2014/15,"Data for electricity generation has been drawn from BEIS, National Grid TEC register, Renewable Energy Planning Database (REPD), Renewable UK Offshore Wind Project Timelines, Developer websites and HM Treasury estimates. ",Cost profiles are based on BEIS' most up to date levelised cost data for each technology and market intelligence on proportion of projects that are constructed. The relative levels of investment between technologies is subject to market forces and therefore figures are indicative of potential investment in each technology and are not a forecast of actual investment, 322.44 , 322.44 , -   , -   , -   , 322.44 , 322.44 , -   , -   , -   , -   , -   , -   , -   , -   , -   
Energy,Electricity Generation,Advanced Conversion Technologies,In Construction,Chinook Sciences,Bulwell Energy,Project,1,Bulwell Energy,East Midlands,Private,No,Private,2017,2019, 229.75 , -   , 114.88 , -   , -   , -   , -   ,Constant,2014/15,"Data for electricity generation has been drawn from BEIS, National Grid TEC register, Renewable Energy Planning Database (REPD), Renewable UK Offshore Wind Project Timelines, Developer websites and HM Treasury estimates. ",Cost profiles are based on BEIS' most up to date levelised cost data for each technology and market intelligence on proportion of projects that are constructed. The relative levels of investment between technologies is subject to market forces and therefore figures are indicative of potential investment in each technology and are not a forecast of actual investment, 120.40 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Energy,Electricity Generation,Advanced Conversion Technologies,In Construction,Enviroparks Operations Ltd,Enviroparks Hirwaun Generation Site,Project,1,Enviroparks Hirwaun Generation Site,Wales,Private,No,Private,2018,2020, 155.77 , -   , 31.15 , 77.88 , 46.73 , -   , -   ,Constant,2014/15,"Data for electricity generation has been drawn from BEIS, National Grid TEC register, Renewable Energy Planning Database (REPD), Renewable UK Offshore Wind Project Timelines, Developer websites and HM Treasury estimates. ",Cost profiles are based on BEIS' most up to date levelised cost data for each technology and market intelligence on proportion of projects that are constructed. The relative levels of investment between technologies is subject to market forces and therefore figures are indicative of potential investment in each technology and are not a forecast of actual investment, 32.65 , 81.63 , 48.98 , -   , -   , 130.61 , 130.61 , -   , -   , -   , -   , -   , -   , -   , -   , -   
Energy,Electricity Generation,Advanced Conversion Technologies,In Construction,Thames Gateway Waste to Energy (Chinook Urban Mining),Thames Gateway EfW,Project,1,Thames Gateway EfW,London,Private,No,Private,2018,2019, 147.98 , -   , 73.99 , 73.99 , -   , -   , -   ,Constant,2014/15,"Data for electricity generation has been drawn from BEIS, National Grid TEC register, Renewable Energy Planning Database (REPD), Renewable UK Offshore Wind Project Timelines, Developer websites and HM Treasury estimates. ",Cost profiles are based on BEIS' most up to date levelised cost data for each technology and market intelligence on proportion of projects that are constructed. The relative levels of investment between technologies is subject to market forces and therefore figures are indicative of potential investment in each technology and are not a forecast of actual investment, 77.55 , 77.55 , -   , -   , -   , 77.55 , 77.55 , -   , -   , -   , -   , -   , -   , -   , -   , -   
Energy,Electricity Generation,Biomass,In Construction,MGT Teesside Ltd,Tees Renewable Energy Plant,Project,1,Tees Renewable Energy Plant,North East,Private,No,Private,2018,2020, 931.84 , -   , 363.42 , 251.60 , 316.83 , -   , -   ,Constant,2014/15,"Data for electricity generation has been drawn from BEIS, National Grid TEC register, Renewable Energy Planning Database (REPD), Renewable UK Offshore Wind Project Timelines, Developer websites and HM Treasury estimates. ",Cost profiles are based on BEIS' most up to date levelised cost data for each technology and market intelligence on proportion of projects that are constructed. The relative levels of investment between technologies is subject to market forces and therefore figures are indicative of potential investment in each technology and are not a forecast of actual investment, 380.90 , 263.70 , 332.06 , -   , -   , 595.76 , 595.76 , -   , -   , -   , -   , -   , -   , -   , -   , -   
Energy,Electricity Generation,Biomass CHP,Consents Approved,Grangemouth Renewable Energy Ltd,Grangemouth Renewable Energy Plant,Project,1,Grangemouth Renewable Energy Plant,Scotland,Private,No,Private,2020,2023, 440.51 , -   , -   , -   , 88.10 , 132.15 , 220.26 ,Constant,2014/15,"Data for electricity generation has been drawn from BEIS, National Grid TEC register, Renewable Energy Planning Database (REPD), Renewable UK Offshore Wind Project Timelines, Developer websites and HM Treasury estimates. ",Cost profiles are based on BEIS' most up to date levelised cost data for each technology and market intelligence on proportion of projects that are constructed. The relative levels of investment between technologies is subject to market forces and therefore figures are indicative of potential investment in each technology and are not a forecast of actual investment, -   , -   , 92.34 , 138.51 , 230.85 , 230.85 , 461.70 , -   , -   , -   , -   , -   , -   , -   , -   , -   
Energy,Electricity Generation,Biomass CHP,In Construction,Glennmont Partners,Port Clarence Biomass CHP,Project,1,Port Clarence Biomass CHP,North East ,Private,No,Private,2017,2019, 160.00 , -   , 120.00 , -   , -   , -   , -   ,Constant,2014/15,"Data for electricity generation has been drawn from BEIS, National Grid TEC register, Renewable Energy Planning Database (REPD), Renewable UK Offshore Wind Project Timelines, Developer websites and HM Treasury estimates. ",Cost profiles are based on BEIS' most up to date levelised cost data for each technology and market intelligence on proportion of projects that are constructed. The relative levels of investment between technologies is subject to market forces and therefore figures are indicative of potential investment in each technology and are not a forecast of actual investment, 125.77 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Energy,Electricity Generation,Energy from Waste with CHP,Consents Approved,Gent Fairhead & Co. Ltd,Wren Power and Pulp,Project,1,Wren Power and Pulp,South East,Private,No,Private,2020,2021, 699.38 , -   , -   , -   , 349.69 , 349.69 , -   ,Constant,2014/15,"Data for electricity generation has been drawn from BEIS, National Grid TEC register, Renewable Energy Planning Database (REPD), Renewable UK Offshore Wind Project Timelines, Developer websites and HM Treasury estimates. ",Cost profiles are based on BEIS' most up to date levelised cost data for each technology and market intelligence on proportion of projects that are constructed. The relative levels of investment between technologies is subject to market forces and therefore figures are indicative of potential investment in each technology and are not a forecast of actual investment, -   , -   , 366.51 , 366.51 , -   , 733.02 , 733.02 , -   , -   , -   , -   , -   , -   , -   , -   , -   
Energy,Electricity Generation,Energy from Waste with CHP,In Construction,Scottish and Southern Energy (SSE),Ferrybridge Multifuel 2 (FM2),Project,1,Ferrybridge Multifuel 2 (FM2),Yorkshire and the Humber,Private,No,Private,2017,2019, 984.05 , -   , 295.22 , 492.03 , -   , -   , -   ,Constant,2014/15,"Data for electricity generation has been drawn from BEIS, National Grid TEC register, Renewable Energy Planning Database (REPD), Renewable UK Offshore Wind Project Timelines, Developer websites and HM Treasury estimates. ",Cost profiles are based on BEIS' most up to date levelised cost data for each technology and market intelligence on proportion of projects that are constructed. The relative levels of investment between technologies is subject to market forces and therefore figures are indicative of potential investment in each technology and are not a forecast of actual investment, 309.42 , 515.69 , -   , -   , -   , 515.69 , 515.69 , -   , -   , -   , -   , -   , -   , -   , -   , -   
Energy,Electricity Generation,Energy from Waste with CHP,In Construction,E.ON / Wheelabrator Technologies,K3 CHP Facility,Project,1,K3 CHP Facility,South East,Private,No,Private,2019,2020, 632.61 , -   , -   , 316.30 , 316.30 , -   , -   ,Constant,2014/15,"Data for electricity generation has been drawn from BEIS, National Grid TEC register, Renewable Energy Planning Database (REPD), Renewable UK Offshore Wind Project Timelines, Developer websites and HM Treasury estimates. ",Cost profiles are based on BEIS' most up to date levelised cost data for each technology and market intelligence on proportion of projects that are constructed. The relative levels of investment between technologies is subject to market forces and therefore figures are indicative of potential investment in each technology and are not a forecast of actual investment, -   , 331.52 , 331.52 , -   , -   , 663.03 , 663.03 , -   , -   , -   , -   , -   , -   , -   , -   , -   
Energy,Electricity Generation,Nuclear,Consents Approved,EDF Energy Nuclear Generation Ltd,Hinkley Point C,Project,1,Hinkley Point C,South West,Private,No,Private,2019,2027," 19,600.00 ", -   , -   ," 1,176.00 "," 2,548.00 "," 2,548.00 "," 13,328.00 ",Constant,2014/15,"Data for electricity generation has been drawn from BEIS, National Grid TEC register, Renewable Energy Planning Database (REPD), Renewable UK Offshore Wind Project Timelines, Developer websites and HM Treasury estimates. ",Cost profiles are based on BEIS' most up to date levelised cost data for each technology and market intelligence on proportion of projects that are constructed. The relative levels of investment between technologies is subject to market forces and therefore figures are indicative of potential investment in each technology and are not a forecast of actual investment, -   ," 1,232.56 "," 2,670.56 "," 2,670.56 "," 13,969.07 "," 6,573.68 "," 20,542.75 ", -   , -   , -   , -   , -   , -   , -   , -   , -   
Energy,Electricity Generation,Other Generation to 2021,Various,Various,Other Generation to 2021,Programme,Multiple,Other Generation to 2021,UK,Private,No,Private,2016/17,2020/21," 14,631.44 ", -   ," 2,851.22 "," 2,930.19 "," 2,964.80 "," 3,034.00 ", -   ,Constant,2014/15,"Data for electricity generation has been drawn from BEIS, National Grid TEC register, Renewable Energy Planning Database (REPD), Renewable UK Offshore Wind Project Timelines, Developer websites and HM Treasury estimates. ",Cost profiles are based on BEIS' most up to date levelised cost data for each technology and market intelligence on proportion of projects that are constructed. The relative levels of investment between technologies is subject to market forces and therefore figures are indicative of potential investment in each technology and are not a forecast of actual investment," 2,988.37 "," 3,071.14 "," 3,107.40 "," 3,179.94 ", -   ," 9,358.47 "," 9,358.47 ", -   , -   , -   , -   , -   , -   , -   , -   , -   
Energy,Electricity Generation,Post 2021 Generation ,Scoping,Various,Post 2021 Generation ,Programme,Multiple,Post 2021 Generation ,UK,Private,No,Private,2021,Various," 87,932.98 ", -   , -   , -   , -   ," 2,875.28 "," 85,057.71 ",Constant,2014/15,"Data for electricity generation has been drawn from BEIS, National Grid TEC register, Renewable Energy Planning Database (REPD), Renewable UK Offshore Wind Project Timelines, Developer websites and HM Treasury estimates. ",Cost profiles are based on BEIS' most up to date levelised cost data for each technology and market intelligence on proportion of projects that are constructed. The relative levels of investment between technologies is subject to market forces and therefore figures are indicative of potential investment in each technology and are not a forecast of actual investment, -   , -   , -   ," 3,013.57 "," 89,148.93 "," 3,013.57 "," 92,162.51 ", -   , -   , -   , -   , -   , -   , -   , -   , -   
Energy,Electricity Generation,Wind Offshore,Consents Approved,DONG,Hornsea Project Two - Optimus and Breesea,Project,1,Hornsea Project Two - Optimus and Breesea,Yorkshire and the Humber,Private,No,Private,2019,2023," 2,607.16 ", -   , -   , 130.36 , 912.51 , 651.79 , 912.51 ,Constant,2014/15,"Data for electricity generation has been drawn from BEIS, National Grid TEC register, Renewable Energy Planning Database (REPD), Renewable UK Offshore Wind Project Timelines, Developer websites and HM Treasury estimates. ",Cost profiles are based on BEIS' most up to date levelised cost data for each technology and market intelligence on proportion of projects that are constructed. The relative levels of investment between technologies is subject to market forces and therefore figures are indicative of potential investment in each technology and are not a forecast of actual investment, -   , 136.63 , 956.40 , 683.14 , 956.40 ," 1,776.17 "," 2,732.57 ", -   , -   , -   , -   , -   , -   , -   , -   , -   
Energy,Electricity Generation,Wind Offshore,Consents Approved,Moray East (formerly MORL)/ EDPR,Moary Offshore Windfarm (East) ,Project,1,Moary Offshore Windfarm (East) ,Scotland,Private,No,Private,2019,2023," 1,769.15 ", -   , -   , 88.46 , 619.20 , 442.29 , 619.20 ,Constant,2014/15,"Data for electricity generation has been drawn from BEIS, National Grid TEC register, Renewable Energy Planning Database (REPD), Renewable UK Offshore Wind Project Timelines, Developer websites and HM Treasury estimates. ",Cost profiles are based on BEIS' most up to date levelised cost data for each technology and market intelligence on proportion of projects that are constructed. The relative levels of investment between technologies is subject to market forces and therefore figures are indicative of potential investment in each technology and are not a forecast of actual investment, -   , 92.71 , 648.98 , 463.56 , 648.98 ," 1,205.26 "," 1,854.24 ", -   , -   , -   , -   , -   , -   , -   , -   , -   
Energy,Electricity Generation,Wind Offshore,Consents Approved,Mainstream Renewable Power,Neart na Gaoithe,Project,1,Neart na Gaoithe,Scotland,Private,No,Private,2020,2023," 2,000.00 ", -   , -   , -   , 300.00 , 600.00 ," 1,100.00 ",Constant,2014/15,"Data for electricity generation has been drawn from BEIS, National Grid TEC register, Renewable Energy Planning Database (REPD), Renewable UK Offshore Wind Project Timelines, Developer websites and HM Treasury estimates. ",Cost profiles are based on BEIS' most up to date levelised cost data for each technology and market intelligence on proportion of projects that are constructed. The relative levels of investment between technologies is subject to market forces and therefore figures are indicative of potential investment in each technology and are not a forecast of actual investment, -   , -   , 314.43 , 628.86 ," 1,152.91 ", 943.29 ," 2,096.20 ", -   , -   , -   , -   , -   , -   , -   , -   , -   
Energy,Electricity Generation,Wind Offshore,Consents Approved,Innogy,Triton Knoll Offshore Wind Farm,Project,1,Triton Knoll Offshore Wind Farm,East Midlands,Private,No,Private,2018,2022," 1,601.54 ", -   , 80.08 , 480.46 , 640.62 , 320.31 , 80.08 ,Constant,2014/15,"Data for electricity generation has been drawn from BEIS, National Grid TEC register, Renewable Energy Planning Database (REPD), Renewable UK Offshore Wind Project Timelines, Developer websites and HM Treasury estimates. ",Cost profiles are based on BEIS' most up to date levelised cost data for each technology and market intelligence on proportion of projects that are constructed. The relative levels of investment between technologies is subject to market forces and therefore figures are indicative of potential investment in each technology and are not a forecast of actual investment, 83.93 , 503.57 , 671.43 , 335.72 , 83.93 ," 1,510.72 "," 1,594.65 ", -   , -   , -   , -   , -   , -   , -   , -   , -   
Energy,Electricity Generation,Wind Offshore,In Construction,Scottish & Southern Energy (SSE) / Repsol / CIP,Beatrice Wind Farm,Project,1,Beatrice Wind Farm,Scotland,Private,No,Private,2017,2020," 1,508.95 ", -   , 603.58 , 603.58 , 150.89 , -   , -   ,Constant,2014/15,"Data for electricity generation has been drawn from BEIS, National Grid TEC register, Renewable Energy Planning Database (REPD), Renewable UK Offshore Wind Project Timelines, Developer websites and HM Treasury estimates. ",Cost profiles are based on BEIS' most up to date levelised cost data for each technology and market intelligence on proportion of projects that are constructed. The relative levels of investment between technologies is subject to market forces and therefore figures are indicative of potential investment in each technology and are not a forecast of actual investment, 632.61 , 632.61 , 158.15 , -   , -   , 790.76 , 790.76 , -   , -   , -   , -   , -   , -   , -   , -   , -   
Energy,Electricity Generation,Wind Offshore,In Construction,Scottish Power Renewables,East Anglia 1 (EA 1),Project,1,East Anglia 1 (EA 1),East of England,Private,No,Private,2018,2021," 2,000.00 ", -   , 200.00 , 700.00 , 900.00 , 200.00 , -   ,Constant,2014/15,"Data for electricity generation has been drawn from BEIS, National Grid TEC register, Renewable Energy Planning Database (REPD), Renewable UK Offshore Wind Project Timelines, Developer websites and HM Treasury estimates. ",Cost profiles are based on BEIS' most up to date levelised cost data for each technology and market intelligence on proportion of projects that are constructed. The relative levels of investment between technologies is subject to market forces and therefore figures are indicative of potential investment in each technology and are not a forecast of actual investment, 209.62 , 733.67 , 943.29 , 209.62 , -   ," 1,886.58 "," 1,886.58 ", -   , -   , -   , -   , -   , -   , -   , -   , -   
Energy,Electricity Generation,Wind Offshore,In Construction,Vattenfall,European Offshore Wind Deployment Centre (EOWDC) (Aberdeen Bay - Demonstration site),Project,1,European Offshore Wind Deployment Centre (EOWDC) (Aberdeen Bay - Demonstration site),Scotland,Private,No,Private,2017,2019, 227.95 , -   , 91.18 , 45.59 , -   , -   , -   ,Constant,2014/15,"Data for electricity generation has been drawn from BEIS, National Grid TEC register, Renewable Energy Planning Database (REPD), Renewable UK Offshore Wind Project Timelines, Developer websites and HM Treasury estimates. ",Cost profiles are based on BEIS' most up to date levelised cost data for each technology and market intelligence on proportion of projects that are constructed. The relative levels of investment between technologies is subject to market forces and therefore figures are indicative of potential investment in each technology and are not a forecast of actual investment, 95.57 , 47.78 , -   , -   , -   , 47.78 , 47.78 , -   , -   , -   , -   , -   , -   , -   , -   , -   
Energy,Electricity Generation,Wind Offshore,In Construction,DONG,Hornsea Project One - Heron & Njord,Project,1,Hornsea Project One - Heron & Njord,North East,Private,No,Private,2019,2022," 2,830.80 ", -   , -   , 141.54 , 990.78 , 990.78 , 707.70 ,Constant,2014/15,"Data for electricity generation has been drawn from BEIS, National Grid TEC register, Renewable Energy Planning Database (REPD), Renewable UK Offshore Wind Project Timelines, Developer websites and HM Treasury estimates. ",Cost profiles are based on BEIS' most up to date levelised cost data for each technology and market intelligence on proportion of projects that are constructed. The relative levels of investment between technologies is subject to market forces and therefore figures are indicative of potential investment in each technology and are not a forecast of actual investment, -   , 148.35 ," 1,038.44 "," 1,038.44 ", 741.74 ," 2,225.22 "," 2,966.96 ", -   , -   , -   , -   , -   , -   , -   , -   , -   
Energy,Electricity Generation,Wind Onshore,Consents Approved,Community Windpower,Aikengall IIa Community Wind Farm,Project,1,Aikengall IIa Community Wind Farm,Scotland,Private,No,Private,2017,2019, 91.71 , -   , 27.51 , 45.86 , -   , -   , -   ,Constant,2014/15,"Data for electricity generation has been drawn from BEIS, National Grid TEC register, Renewable Energy Planning Database (REPD), Renewable UK Offshore Wind Project Timelines, Developer websites and HM Treasury estimates. ",Cost profiles are based on BEIS' most up to date levelised cost data for each technology and market intelligence on proportion of projects that are constructed. The relative levels of investment between technologies is subject to market forces and therefore figures are indicative of potential investment in each technology and are not a forecast of actual investment, 28.84 , 48.06 , -   , -   , -   , 48.06 , 48.06 , -   , -   , -   , -   , -   , -   , -   , -   , -   
Energy,Electricity Generation,Wind Onshore,Consents Approved,Ecotricity,Heckington Fen,Project,1,Heckington Fen,East Midlands,Private,No,Private,2016,2019, 97.88 , -   , 39.15 , 19.58 , -   , -   , -   ,Constant,2014/15,"Data for electricity generation has been drawn from BEIS, National Grid TEC register, Renewable Energy Planning Database (REPD), Renewable UK Offshore Wind Project Timelines, Developer websites and HM Treasury estimates. ",Cost profiles are based on BEIS' most up to date levelised cost data for each technology and market intelligence on proportion of projects that are constructed. The relative levels of investment between technologies is subject to market forces and therefore figures are indicative of potential investment in each technology and are not a forecast of actual investment, 41.03 , 20.52 , -   , -   , -   , 20.52 , 20.52 , -   , -   , -   , -   , -   , -   , -   , -   , -   
Energy,Electricity Generation,Wind Onshore,Consents Approved,Banks Renewables (Kype Muir Wind Farm) Limited,Kype Muir Wind Farm Extension,Project,1,Kype Muir Wind Farm Extension,Scotland,Private,No,Private,2018,2019, 113.88 , -   , 56.94 , 56.94 , -   , -   , -   ,Constant,2014/15,"Data for electricity generation has been drawn from BEIS, National Grid TEC register, Renewable Energy Planning Database (REPD), Renewable UK Offshore Wind Project Timelines, Developer websites and HM Treasury estimates. ",Cost profiles are based on BEIS' most up to date levelised cost data for each technology and market intelligence on proportion of projects that are constructed. The relative levels of investment between technologies is subject to market forces and therefore figures are indicative of potential investment in each technology and are not a forecast of actual investment, 59.68 , 59.68 , -   , -   , -   , 59.68 , 59.68 , -   , -   , -   , -   , -   , -   , -   , -   , -   
